epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1883,2.35734,4.07044,1.83301,0.00816,0.20123,0.02105,0.0064,1.75503,3.70101,1.24072,8.574e-05,8.574e-05,8.574e-05
2,157.162,1.95329,3.37528,1.47088,0.01681,0.4037,0.05557,0.01238,2.66902,3.81306,1.91555,0.000182092,0.000182092,0.000182092
3,233.945,1.88746,2.30044,1.34389,0.02677,0.5688,0.23014,0.10179,1.66397,3.11599,1.16034,0.000274482,0.000274482,0.000274482
4,314.865,1.79638,2.08519,1.31411,0.02943,0.59944,0.27753,0.13103,1.69551,2.97118,1.19866,0.000362912,0.000362912,0.000362912
5,397.134,1.70175,1.85601,1.27385,0.58134,0.47082,0.28238,0.13702,1.63178,2.98097,1.27419,0.00044738,0.00044738,0.00044738
6,479.314,1.61352,1.80046,1.27687,0.66227,0.24579,0.21729,0.10233,1.73855,3.25227,1.41927,0.000527887,0.000527887,0.000527887
7,556.309,1.58895,1.68803,1.24836,0.69853,0.12622,0.2315,0.11573,1.80025,3.03261,1.45014,0.000604433,0.000604433,0.000604433
8,633.194,1.55016,1.59192,1.21,0.67196,0.2908,0.31944,0.16072,1.74282,2.512,1.3387,0.000677017,0.000677017,0.000677017
9,710.447,1.56351,1.50874,1.23302,0.7634,0.37419,0.41021,0.21032,1.75521,2.31708,1.34242,0.000745641,0.000745641,0.000745641
10,787.927,1.55696,1.47932,1.23966,0.80326,0.39657,0.44638,0.2195,1.77494,2.27966,1.3512,0.000810303,0.000810303,0.000810303
11,866.958,1.48153,1.35299,1.19404,0.82504,0.35692,0.49434,0.24983,1.71312,2.22051,1.31599,0.000871004,0.000871004,0.000871004
12,945.52,1.51137,1.4309,1.22912,0.91332,0.44209,0.5,0.24502,1.78638,2.03135,1.35686,0.000927744,0.000927744,0.000927744
13,1022.2,1.49204,1.33733,1.18969,0.89032,0.47386,0.54339,0.26276,1.75801,1.86344,1.33637,0.000980523,0.000980523,0.000980523
14,1099.13,1.49364,1.26546,1.20337,0.89187,0.50744,0.56178,0.28439,1.71016,1.61753,1.31034,0.00102934,0.00102934,0.00102934
15,1177.38,1.42536,1.22849,1.17366,0.89616,0.52604,0.56567,0.27041,1.74546,1.45518,1.38982,0.00103288,0.00103288,0.00103288
16,1253.64,1.388,1.17128,1.15304,0.91897,0.51998,0.59046,0.29556,1.6751,1.34402,1.32236,0.00100459,0.00100459,0.00100459
17,1329.29,1.41878,1.15452,1.15658,0.92128,0.52176,0.59423,0.29931,1.66651,1.36358,1.3067,0.000976293,0.000976293,0.000976293
18,1405.72,1.37695,1.08247,1.12227,0.87169,0.51392,0.57644,0.28497,1.72079,1.53571,1.33497,0.000947999,0.000947999,0.000947999
19,1482.92,1.33977,1.03869,1.11991,0.92189,0.54212,0.59078,0.30923,1.65978,1.342,1.29181,0.000919704,0.000919704,0.000919704
20,1559.95,1.28245,1.01783,1.09373,0.91893,0.53933,0.602,0.3204,1.63891,1.3444,1.28199,0.00089141,0.00089141,0.00089141
21,1636.44,1.26706,1.00663,1.0895,0.91519,0.51052,0.59504,0.31877,1.63345,1.35493,1.29332,0.000863116,0.000863116,0.000863116
22,1713.58,1.30134,1.02184,1.11221,0.90883,0.5018,0.58078,0.30533,1.65787,1.33186,1.33845,0.000834822,0.000834822,0.000834822
23,1794.12,1.24021,0.98788,1.0732,0.64988,0.61706,0.66334,0.3443,1.66557,1.23159,1.31706,0.000806528,0.000806528,0.000806528
24,1872.17,1.28953,0.99617,1.08847,0.82818,0.55706,0.65907,0.33633,1.70141,1.31366,1.34912,0.000778233,0.000778233,0.000778233
25,1952.2,1.24367,0.96416,1.06355,0.86831,0.55122,0.66189,0.3382,1.67208,1.25957,1.32642,0.000749939,0.000749939,0.000749939
26,2030.46,1.20355,0.91515,1.05196,0.76984,0.63249,0.66909,0.34907,1.63138,1.18531,1.30393,0.000721645,0.000721645,0.000721645
27,2107.27,1.20182,0.93109,1.06648,0.76187,0.65603,0.67356,0.3447,1.60618,1.15957,1.28482,0.000693351,0.000693351,0.000693351
28,2200.67,1.18529,0.8745,1.06293,0.71833,0.63547,0.66334,0.34778,1.60734,1.21074,1.28583,0.000665057,0.000665057,0.000665057
29,2277.88,1.13213,0.86533,1.03873,0.57614,0.62334,0.6025,0.33572,1.64739,1.2299,1.29824,0.000636762,0.000636762,0.000636762
30,2354.8,1.13957,0.86975,1.03969,0.90421,0.54799,0.62069,0.31716,1.66791,1.15668,1.30706,0.000608468,0.000608468,0.000608468
31,2436.64,1.10392,0.8246,1.01724,0.9503,0.54422,0.6432,0.32557,1.6263,1.0655,1.30888,0.000580174,0.000580174,0.000580174
32,2514.93,1.1167,0.8748,1.02441,0.65231,0.66622,0.67496,0.34545,1.60816,1.06009,1.29328,0.00055188,0.00055188,0.00055188
33,2592.38,1.07311,0.82086,1.00795,0.64234,0.66004,0.64073,0.33971,1.62968,1.08494,1.3065,0.000523586,0.000523586,0.000523586
34,2669.5,1.02915,0.7964,0.99269,0.61018,0.66599,0.64663,0.33754,1.6054,1.05673,1.28823,0.000495291,0.000495291,0.000495291
35,2750.15,1.02822,0.77953,0.98797,0.75279,0.67811,0.69081,0.35385,1.60613,1.03189,1.29058,0.000466997,0.000466997,0.000466997
36,2826.73,1.06868,0.79728,1.0001,0.93736,0.58373,0.69074,0.35882,1.61768,1.00652,1.30183,0.000438703,0.000438703,0.000438703
37,2911.66,1.05894,0.78387,1.00692,0.67937,0.67217,0.68986,0.35966,1.61119,1.0015,1.28972,0.000410409,0.000410409,0.000410409
38,3002.76,1.04172,0.7811,0.99768,0.82416,0.64781,0.69635,0.36198,1.62549,0.99878,1.29253,0.000382115,0.000382115,0.000382115
39,3086.85,1.02697,0.78078,1.00393,0.84277,0.66213,0.70109,0.35353,1.66573,1.02538,1.3112,0.00035382,0.00035382,0.00035382
40,3165.75,1.00922,0.75163,0.98856,0.82005,0.65365,0.69752,0.36448,1.61315,1.0109,1.27914,0.000325526,0.000325526,0.000325526
41,3254.21,0.91492,0.68107,0.95271,0.83163,0.65365,0.69755,0.37585,1.60323,1.01256,1.27091,0.000297232,0.000297232,0.000297232
42,3331.33,0.88949,0.66919,0.93408,0.84766,0.63814,0.69774,0.37223,1.61725,1.02789,1.2793,0.000268938,0.000268938,0.000268938
43,3407.77,0.87005,0.67922,0.92717,0.84651,0.64551,0.70705,0.36551,1.64436,1.01289,1.30224,0.000240644,0.000240644,0.000240644
44,3483.24,0.89137,0.66391,0.9359,0.82769,0.65982,0.70062,0.36895,1.63398,0.9943,1.30041,0.000212349,0.000212349,0.000212349
